rank,name,origin,frequency
932,Koninck,flemish,730
933,Steen,flemish,729
934,Doncker,flemish,729
935,Demeester,flemish,728
936,Meganck,flemish,723
937,Vertongen,flemish,722
938,Verbelen,flemish,722
939,Vroman,flemish,722
940,Donder,flemish,721
941,Wang,flemish,720
942,Aelst,flemish,720
943,Lancker,flemish,720
944,Momand,flemish,717
945,Franssens,flemish,716
946,Heyndrickx,flemish,716
947,Durme,flemish,716
948,Wijns,flemish,716
949,Bauters,flemish,716
950,Kegel,flemish,715
951,Uyttersprot,flemish,715
952,Dorpe,flemish,714
953,Kempeneers,flemish,713
954,Weyer,flemish,712
955,Beeckmans,flemish,710
956,Verschaeren,flemish,710
957,Vylder,flemish,710
958,Joosten,flemish,709
959,Krasniqi,flemish,709
960,Brabander,flemish,708
961,Preter,flemish,707
962,Geelen,flemish,707
963,Ongena,flemish,707
964,Gebruers,flemish,706
965,Beyers,flemish,704
966,Huygen,flemish,704
967,Vandenbosch,flemish,704
968,Meskens,flemish,704
969,Vriese,flemish,704
970,Thielen,flemish,703
971,Taelman,flemish,703
972,Damen,flemish,702
973,Goessens,flemish,702
974,Libbrecht,flemish,702
975,Delrue,flemish,701
976,Schelstraete,flemish,701
977,Kuypers,flemish,700
978,Kuppens,flemish,700
979,Pooter,flemish,699
980,Vandezande,flemish,699
981,Stragier,flemish,699
982,Potter,flemish,698
983,Mondelaers,flemish,696
984,Yaramis,flemish,694
985,Vande Velde,flemish,694
986,Ahmadzai,flemish,693
987,Cutsem,flemish,693
988,Nauwelaerts,flemish,691
989,Keer,flemish,691
